"本試験","掲載ページ","分野","テーマ","正解","今回の要点","復習観点","関連キーワード"
"問11","P.7","システム","フォールトトレラントシステム","ア","フォールトトレラントは、構成要素に故障が発生してもシステム全体として必要な機能を継続できる性質です。冗長化などで実現します。","可用性・復旧・保護など、目的語が何かで用語を選ぶ。","故障発生 / 冗長系へ切替え / 機能を維持"
"問12","P.7","システム","スループット","ウ","スループットは、単位時間あたりにシステムが処理できる仕事量を表します。件数/秒、トランザクション/分などで表されます。","可用性・復旧・保護など、目的語が何かで用語を選ぶ。","一定時間 / 処理件数 / スループット"
"問13","P.7","コンピュータ","仮想記憶のページ","エ","仮想アドレス空間を固定長の領域に分割して管理する方式では、その固定長領域をページと呼びます。主記憶側の対応する固定長領域はページフレームです。","ビット、バイト、クロック、ページなどの単位変換を最後まで追う。","仮想アドレス空間 / 固定長に分割 / ページ"
"問14","P.8","プログラミング","コンパイラの最適化目的","ア","コンパイラの最適化は、生成される目的プログラムの実行時間短縮やコードサイズ削減などを目的にします。代表的には不要処理の除去、ループ最適化などです。","用語の主語と処理の向き、実行時の振る舞いを区別する。","ソース / コンパイル時最適化 / 高速な目的プログラム"
"問15","P.8","法務","オープンソースソフトウェアの特徴","ア","OSSはソースコードを利用、調査、変更、再配布できるライセンスで提供されます。ただし著作権が放棄されているわけではなく、ライセンス条件に従う必要があります。","契約当事者、権利者、義務の発生先を分ける。","ソース公開 / 条件に従う / 変更・再配布可能"
"問16","P.8","基礎理論","偶数パリティを判定する論理回路","エ","4ビット中の1の個数が0個または偶数個のとき1を出すのは偶数パリティです。全入力のXORは1の個数が奇数のとき1になるため、その結果をNOTで反転します。","数式・定義を先に固定し、選択肢は単位と条件の違いで切り分ける。","A xor B / C xor D / さらに xor / NOTで偶数判定"
"問17","P.9","マルチメディア","テクスチャマッピング","エ","テクスチャマッピングは、3Dモデルなどの表面に画像を貼り付け、木目、布、金属などの質感を表現する技法です。","表現技法が何を変えるのか、形状・陰影・表面の軸で整理する。","3D形状 / 画像テクスチャ / 表面に貼る / 質感表現"
"問18","P.9","データベース","データウェアハウス","イ","データウェアハウスは、企業活動で発生するデータを時系列に整理、統合して蓄積し、分析や意思決定支援に利用する基盤です。","キー、従属性、存在判定、排他制御を図にして考える。","業務データ / 統合・蓄積 / 分析 / 意思決定支援"
"問19","P.9","データベース","発注伝票表の第3正規形","ウ","元の表では、主キーが注文番号と商品番号の組で、商品名は商品番号だけで決まります。非キー属性が主キーの一部に従属しているため、商品表を分離します。","キー、従属性、存在判定、排他制御を図にして考える。","発注明細 / 注文番号+商品番号 / 商品表 / 商品番号→商品名"
"問20","P.10","データベース","NOT INと同じ結果のSQL","エ","元のSQLは、在庫表に存在しない商品番号を商品表から取り出します。同じことは、商品ごとに在庫表に同じ商品番号が存在しないことをNOT EXISTSで調べれば表せます。","キー、従属性、存在判定、排他制御を図にして考える。","商品 / 同じ商品番号が在庫にあるか / ないものだけ選ぶ"
"問21","P.10","データベース","JavaからDBへアクセスする標準API","ウ","JDBCはJava Database Connectivityの略で、Javaアプリケーションから関係データベースへ接続し、SQLを実行するための標準APIです。","キー、従属性、存在判定、排他制御を図にして考える。","Javaアプリ / JDBC / DBMS"
"問22","P.11","データベース","共有ロックと排他ロックの並行可否","エ","共有ロックは読み取り用で、共有ロック同士なら同時に取得できます。排他ロックは更新用で、他の共有ロックや排他ロックと両立しません。","キー、従属性、存在判定、排他制御を図にして考える。","共有×共有=○ / 共有×排他=× / 排他×共有=× / 排他×排他=×"
"問23","P.11","ネットワーク","回線伝送時間の計算","エ","100Mバイトは800Mビットです。回線速度10Mビット/秒で伝送効率75%なので、実効速度は7.5Mビット/秒です。800÷7.5=約106.7秒、選択肢では107秒です。","階層、アドレス、速度、プロトコルのどの話かを先に分ける。","100Mバイト / 800Mビット / 7.5Mビット/秒 / 約107秒"
"問24","P.12","ネットワーク","TCP/IP階層モデルで見る装置A","エ","図の装置Aはインターネット層までを扱い、二つのLANセグメント間でデータを中継しています。TCP/IPでインターネット層の中継を行う代表的な装置はルータです。","階層、アドレス、速度、プロトコルのどの話かを先に分ける。","LAN1 / インターネット層で中継 / LAN2"
"問25","P.12","ネットワーク","IPアドレスとサブネット","エ","255.255.255.240は/28で、最後のオクテットは16刻みです。146を含む範囲は144〜159なので、ネットワークアドレスは10.1.2.144/28です。","階層、アドレス、速度、プロトコルのどの話かを先に分ける。","/28 / 16刻み / 144〜159 / 10.1.2.144/28"
"問26","P.12","ネットワーク","Webサーバと外部プログラムの連携","ア","CGIはWebサーバがクライアント要求に応じて外部プログラムを起動し、その実行結果をWebブラウザへ返すための仕組みです。動的ページ生成に使われます。","階層、アドレス、速度、プロトコルのどの話かを先に分ける。","HTTP要求 / Webサーバ / CGIプログラム / 結果を返す"
"問27","P.13","セキュリティ","サイバーキルチェーン","ウ","サイバーキルチェーンは、攻撃者の行動を偵察、武器化、配送、侵入、インストール、指令、目的達成などの段階に分けて捉える考え方です。","攻撃の段階、防御対象、認証・暗号・検知の役割を対応付ける。","偵察 / 侵入 / 権限維持 / 目的実行"
"問28","P.13","セキュリティ","エンベロープ暗号化","ア","エンベロープ暗号化では、データ本体をデータ暗号化鍵で暗号化し、そのデータ暗号化鍵を鍵暗号化鍵で暗号化して保護します。","攻撃の段階、防御対象、認証・暗号・検知の役割を対応付ける。","平文 / データ鍵で暗号化 / データ鍵をさらに暗号化"
"問29","P.14","セキュリティ","リスクベース認証","ウ","リスクベース認証は、アクセス時の場所、端末、時間帯、操作内容などからリスクを評価し、普段と異なる場合に追加認証を要求します。","攻撃の段階、防御対象、認証・暗号・検知の役割を対応付ける。","普段の利用条件 / 異常な条件 / 追加認証"
"問30","P.14","セキュリティ","JIS Q 27014のガバナンス範囲","ア","情報セキュリティガバナンスは、情報セキュリティに関する方向付け、監視、評価などを扱います。ITガバナンスの範囲と独立ではなく、重複する領域があります。","攻撃の段階、防御対象、認証・暗号・検知の役割を対応付ける。","ITガバナンス / 重なる領域 / 情報セキュリティガバナンス"
"問31","P.15","セキュリティ","IPSの説明","ウ","IPSはIntrusion Prevention Systemの略で、ネットワークやサーバへの侵入につながる不正通信を検知し、遮断などの防御動作を行います。","攻撃の段階、防御対象、認証・暗号・検知の役割を対応付ける。","通信監視 / 侵入兆候を検知 / 遮断"
"問32","P.15","セキュリティ","ステガノグラフィ","ア","ステガノグラフィは、画像、音声、動画などのデータに秘密情報を隠し、第三者に情報の存在自体を気付かれにくくする技術です。","攻撃の段階、防御対象、認証・暗号・検知の役割を対応付ける。","画像データ / 秘密情報を埋込む / 普通の画像に見える"
"問33","P.16","ネットワーク","WPA2-PSKの機能","ウ","WPA2-PSKは、無線LANで事前共有鍵を使って認証し、通信を暗号化する方式です。アクセスポイント側と端末側で同じ事前共有鍵を設定します。","階層、アドレス、速度、プロトコルのどの話かを先に分ける。","SSID / 事前共有鍵 / 接続許可 / 暗号化"
"問34","P.16","開発技術","UMLアクティビティ図","ア","アクティビティ図は、処理の流れ、分岐、合流、並行処理などを表すUML図です。業務フローやシステム処理の流れを表現します。","どの工程の活動か、成果物に対して何を確認するかを見る。","開始 / 処理A / 分岐・並行 / 終了"
"問35","P.16","プログラミング","クラスとインスタンス","イ","クラスは属性や操作の仕様を定義した設計図で、インスタンスはそのクラスをもとに生成された実体です。同じクラスから複数のインスタンスを作れます。","用語の主語と処理の向き、実行時の振る舞いを区別する。","クラス=設計図 / new / インスタンス=実体"
"問36","P.17","開発技術","デザインレビューのねらい","イ","デザインレビューは、設計成果物を複数人で確認し、仕様漏れ、矛盾、設計ミスなどを早期に見つける活動です。後工程で見つかる欠陥ほど修正コストが高くなります。","どの工程の活動か、成果物に対して何を確認するかを見る。","設計成果物 / レビュー / 早期欠陥発見 / 手戻り削減"
"問37","P.17","開発技術","静的解析ツール","ウ","静的解析ツールは、プログラムを実行せずにソースコードを解析し、文法ミス、型の不整合、到達不能コード、潜在バグなどを検出します。","どの工程の活動か、成果物に対して何を確認するかを見る。","ソースコード / 実行せず解析 / 文法・論理ミス検出"
"問38","P.18","マネジメント","修正費用の期待値","ア","潜在不良は2000kステップ×0.04件/kステップ=80件です。年間発見率20%なので初年度に16件見つかり、影響度大はその20%で3.2件です。初年度は影響度大だけ修正するため、3.2×200万円=640万円です。","計算式か役割定義かを見極め、プロジェクト管理用語を対応させる。","80件 / 初年度16件 / 影響度大3.2件 / 640万円"
"問39","P.18","マネジメント","スクラムマスターの役割","イ","スクラムマスターは、スクラムチームと組織がスクラムを正しく理解し、実践できるよう支援します。障害除去やファシリテーションも担います。","計算式か役割定義かを見極め、プロジェクト管理用語を対応させる。","スクラムマスター / 理解を支援 / 障害を取り除く"
"問40","P.19","開発技術","XPにおけるリファクタリング","ア","リファクタリングは、機能や外部仕様を変えずに、内部構造、重複、命名、設計などを改善することです。保守性や可読性を高めます。","どの工程の活動か、成果物に対して何を確認するかを見る。","同じ動作 / 内部構造を整理 / 読みやすく変更しやすい"
"問41","P.19","マネジメント","工程別工数比率と開発期間","エ","全体40人月を工程比率で分け、各工程の要員数で割って期間を求めます。基本設計2か月、詳細設計2か月、コーディング・単体テスト2か月、結合テスト6か月、総合テスト2か月で合計14か月です。","計算式か役割定義かを見極め、プロジェクト管理用語を対応させる。","2か月 / 2か月 / 2か月 / 6か月 / 2か月 / 合計14か月"
"問42","P.19","マネジメント","EVMの管理対象","ア","EVMはEarned Value Managementの略で、出来高、計画価値、実コストを使い、プロジェクトのコストとスケジュールの進捗を定量的に把握します。","計算式か役割定義かを見極め、プロジェクト管理用語を対応させる。","PV / EV / AC / コスト・スケジュール"
"問43","P.20","システム","コールドスタート","イ","システム障害後に初期状態から再開し、更新前コピーや更新後コピーなどの前処理を伴わない開始はコールドスタートです。初期プログラムロードとも呼ばれます。","可用性・復旧・保護など、目的語が何かで用語を選ぶ。","障害発生 / 初期状態へ戻す / IPL / コールドスタート"
"問44","P.20","システム","落雷過電圧への対策","ア","SPDはSurge Protective Deviceの略で、落雷などで発生する過電圧サージを逃がし、機器を保護する装置です。","可用性・復旧・保護など、目的語が何かで用語を選ぶ。","雷サージ / SPD / 機器保護"
"問45","P.20","監査","情報セキュリティ監査基準","ウ","情報セキュリティ監査では、監査対象の情報セキュリティ対策を評価する判断尺度として、情報セキュリティ管理基準などを用います。","監査人の独立性、判断基準、評価対象をセットで押さえる。","監査対象 / 管理基準 / 判断尺度"
"問46","P.21","ストラテジ","EAのTo-Beモデル","イ","EAで業務と情報システムの理想像、あるべき姿を表すモデルはTo-Beモデルです。現状を表すAs-Isモデルと対比して使われます。","経営用語は目的・対象・使う場面を一文で言い換える。","As-Is / ギャップ分析 / To-Be"
"問47","P.21","ストラテジ","スマートグリッド","エ","スマートグリッドは、電力網に通信・情報処理技術を組み込み、発電、蓄電、消費、再生可能エネルギーを効率よく制御する仕組みです。","経営用語は目的・対象・使う場面を一文で言い換える。","発電 / 通信・計測 / 需要制御 / 安定供給"
"問48","P.22","開発技術","要件定義で実施すべきこと","ア","要件定義では、システムに関わる利害関係者を明らかにし、業務上のニーズ、要望、制約を整理します。そこからシステム要件へ落とし込みます。","どの工程の活動か、成果物に対して何を確認するかを見る。","利害関係者 / ニーズ / 制約条件 / 要件"
"問49","P.22","ストラテジ","M&A","ウ","M&AはMergers and Acquisitionsの略で、合併や買収によって他社の事業、技術、人材、顧客基盤などの経営資源を獲得・活用することです。","経営用語は目的・対象・使う場面を一文で言い換える。","他社 / 買収・合併 / 経営資源を活用"
"問50","P.23","ストラテジ","プロダクトライフサイクルの成長期","ア","成長期は、製品が市場に受け入れられ、売上が急速に増加する段階です。市場が活性化し、競合の参入も増えてきます。","経営用語は目的・対象・使う場面を一文で言い換える。","導入期 / 成長期=売上急増 / 成熟期 / 衰退期"
"問51","P.23","ストラテジ","BSCの顧客の視点","イ","バランススコアカードの顧客の視点では、顧客満足、顧客維持、顧客から見た価値などを評価します。クレーム件数は顧客との関係を測る指標の一つです。","経営用語は目的・対象・使う場面を一文で言い換える。","顧客の視点 / 満足・関係 / クレーム件数"
"問52","P.23","ストラテジ","技術進化過程を表す曲線","ア","技術は導入期、成長期、成熟期、衰退期をたどり、次の技術フェーズへ移ることがあります。この進化過程を表す代表的なものが技術のSカーブです。","経営用語は目的・対象・使う場面を一文で言い換える。","導入 / 成長 / 成熟 / 次のSカーブ"
"問53","P.24","ストラテジ","HEMS","エ","HEMSはHome Energy Management Systemの略で、家庭内の家電や発電・蓄電設備をつなぎ、電力使用量の見える化や制御を行う仕組みです。","経営用語は目的・対象・使う場面を一文で言い換える。","家電 / 計測 / 見える化 / 制御"
"問54","P.25","ストラテジ","製品開発スピードアップ手法の分類","ウ","図のbは、経営資源を組織内から確保し、実現方法が組織的アプローチである領域です。設計部門と生産部門が並行して作業を進めるコンカレントエンジニアリングが該当します。","経営用語は目的・対象・使う場面を一文で言い換える。","組織内資源 / 組織的アプローチ / 部門並行作業"
"問55","P.26","ストラテジ","クラウドソーシング","エ","クラウドソーシングは、インターネットを通じて不特定多数の人に業務を提示し、受注者や協力者を募る仕組みです。","経営用語は目的・対象・使う場面を一文で言い換える。","発注者 / ネットで募集 / 受注者が応募"
"問56","P.26","ストラテジ","マトリックス組織","イ","マトリックス組織では、構成員が職能別の組織と、製品・顧客・プロジェクトなどの事業別組織の両方に属します。専門性と事業遂行を両立させる狙いがあります。","経営用語は目的・対象・使う場面を一文で言い換える。","職能軸 / 事業軸 / 二重所属"
"問57","P.27","ストラテジ","定量発注方式の発注量変更","エ","定量発注方式では発注点Kに達したとき一定量Eを発注します。発注後に需要予測が変わり、納品直前の予測在庫が安全在庫SからXへ増えるなら、そのままEを受け入れると最大在庫量をX−Sだけ超えるため、その分を取り消します。","経営用語は目的・対象・使う場面を一文で言い換える。","当初: S+E=最大 / 変更後: X+Eは超過 / 超過分 X−S を取消"
"問58","P.28","品質管理","ヒストグラム","ウ","ヒストグラムは、数量データをいくつかの階級に分け、各階級に属するデータ数を棒で表したグラフです。分布の形、ばらつき、偏りを視覚的に把握できます。","QC七つ道具は、何を可視化する図かで区別する。","階級 / 度数 / 棒グラフ / 分布を見る"
"問59","P.28","会計","期待利益の計算","イ","価格が1000円のとき、期待販売数はy=-30×1000+90000=60000個です。1個あたりの限界利益は1000-400=600円なので、600×60000-固定費1000000=35000000円です。","売上、変動費、固定費を分け、利益式に代入する。","販売数60000 / 限界利益600円 / 36000000−1000000 / 35000000"
"問60","P.28","法務","労働者派遣契約の当事者","ウ","労働者派遣契約は、派遣元事業主と派遣先事業主との間で締結されます。派遣労働者は派遣元と雇用関係を持ち、派遣先の指揮命令を受けて働きます。","契約当事者、権利者、義務の発生先を分ける。","派遣元 / 派遣契約 / 派遣先 / 労働者は派遣元と雇用"
