"今回問","ページ","分野","テーマ","確度","最有力掲載ページ","最有力URL","最有力ページの出典欄","最有力ページの出題履歴","確認メモ","スコア","候補2","候補2URL","候補3","候補3URL"
"問11","P.7","システム","フォールトトレラントシステム","高","fe-siken.com 平成25年春期 問14 / フォールトトレラントシステム","https://www.fe-siken.com/kakomon/25_haru/q14.html","","基本情報技術者 H19春期 問34 基本情報技術者 H21春期 問15","","201","fe-siken.com 平成21年春期 問15 / フォールトトレラントシステム","https://www.fe-siken.com/kakomon/21_haru/q15.html","fe-siken.com 平成19年春期 問34 / フォールトトレラントシステム","https://www.fe-siken.com/kakomon/19_haru/q34.html"
"問12","P.7","システム","スループット","高","fe-siken.com 平成20年秋期 問33 / スループットの説明","https://www.fe-siken.com/kakomon/20_aki/q33.html","","応用情報技術者 H24春期 問18 ソフトウェア開発技術者 H16春期 問36","","155","fe-siken.com 平成25年春期 問16 / スループット","https://www.fe-siken.com/kakomon/25_haru/q16.html","ap-siken.com 平成24年春期 問18 / スループットの説明","https://www.ap-siken.com/kakomon/24_haru/q18.html"
"問13","P.7","コンピュータ","仮想記憶のページ","高","fe-siken.com 平成19年春期 問28 / ページング方式","https://www.fe-siken.com/kakomon/19_haru/q28.html","","基本情報技術者 H16春期 問30","","272","fe-siken.com 平成16年春期 問30 / 仮想記憶方式","https://www.fe-siken.com/kakomon/16_haru/q30.html","fe-siken.com 平成24年秋期 問18 / フラグメンテーション","https://www.fe-siken.com/kakomon/24_aki/q18.html"
"問14","P.8","プログラミング","コンパイラの最適化目的","高","fe-siken.com 令和2年度 午前免除試験 問18 / コンパイラによる最適化の主な目的","https://www.fe-siken.com/kakomon/02_menjo/q18.html","午前免除試験 令和2年7月 問18","基本情報技術者 H30春期 問18","","160","fe-siken.com 平成30年春期 問18 / コンパイラによる最適化の主な目的","https://www.fe-siken.com/kakomon/30_haru/q18.html","fe-siken.com 平成22年秋期 問22 / コンパイラによる最適化の主な目的","https://www.fe-siken.com/kakomon/22_aki/q22.html"
"問15","P.8","法務","オープンソースソフトウェアの特徴","高","fe-siken.com 令和6年度 午前免除試験 問15 / オープンソースソフトウェア","https://www.fe-siken.com/kakomon/06_menjo/q15.html","午前免除試験 令和6年7月 問15","応用情報技術者 H22秋期 問21","","91","fe-siken.com 令和6年度 午前免除試験 問15 / 問15 解説へ オープンソースソフトウェアの特徴のうち，適切なものはどれか。 一定の条件の下で，ソースコードの変更を許可している。 使用分野及び利用者を制限して再配布できる。 著作...","https://www.fe-siken.com/s/kakomon/06_menjo/q15.html","ap-siken.com 平成22年秋期 問21 / オープンソースソフトウェア","https://www.ap-siken.com/kakomon/22_aki/q21.html"
"問16","P.8","基礎理論","偶数パリティを判定する論理回路","確定","fe-siken.com 平成23年特別試験 問24 / 論理回路図","https://www.fe-siken.com/kakomon/23_toku/q24.html","","基本情報技術者 H13秋期 問16 基本情報技術者 H17秋期 問16 基本情報技術者 H20秋期 問17","問題文の「4ビットの入力データ」「1の入力数が0個又は偶数個」が一致。","手動確認","fe-siken.com 平成19年春期 問9 / 条件文と同値なもの","https://www.fe-siken.com/kakomon/19_haru/q9.html","fe-siken.com 平成14年春期 問8 / 等式a＝bと同じことを表すもの","https://www.fe-siken.com/kakomon/14_haru/q8.html"
"問17","P.9","マルチメディア","テクスチャマッピング","高","fe-siken.com 平成27年春期 問25 / テクスチャマッピング","https://www.fe-siken.com/kakomon/27_haru/q25.html","","応用情報技術者 H24春期 問25","","99","ap-siken.com 平成24年春期 問25 / テクスチャマッピング","https://www.ap-siken.com/kakomon/24_haru/q25.html","ap-siken.com 01_moshi 問33 / メタボール","https://www.ap-siken.com/kakomon/01_moshi/q33.html"
"問18","P.9","データベース","データウェアハウス","高","fe-siken.com 平成18年秋期 問35 / データウェアハウス","https://www.fe-siken.com/kakomon/18_aki/q35.html","","初級シスアド H20秋期 問21 基本情報技術者 H22春期 問33","","185","fe-siken.com 平成22年春期 問33 / データウェアハウス","https://www.fe-siken.com/kakomon/22_haru/q33.html","fe-siken.com 令和6年度 午前免除試験 問18 / データウェアハウス","https://www.fe-siken.com/kakomon/06_menjo/q18.html"
"問19","P.9","データベース","発注伝票表の第3正規形","確定","fe-siken.com 令和6年度 午前免除試験 問19 / 関係データベースの正規化","https://www.fe-siken.com/kakomon/06_menjo/q19.html","午前免除試験 令和6年7月 問19","基本情報技術者 H22春期 問30","問題文の「発注伝票」表と属性列が一致。","手動確認","fe-siken.com 平成22年春期 問46 / E-R図","https://www.fe-siken.com/kakomon/22_haru/q46.html","fe-siken.com 令和7年春期 問6 / SQL文","https://www.fe-siken.com/kakomon/07_haru/a6.html"
"問20","P.10","データベース","NOT INと同じ結果のSQL","高","fe-siken.com 平成26年春期 問28 / SQL文","https://www.fe-siken.com/kakomon/26_haru/q28.html","","基本情報技術者 H22春期 問31","","114","fe-siken.com 平成22年春期 問31 / SQL文","https://www.fe-siken.com/kakomon/22_haru/q31.html","ap-siken.com 平成28年秋期 問29 / SQL文のaに入れる字句はどれか","https://www.ap-siken.com/kakomon/28_aki/q29.html"
"問21","P.10","データベース","JavaからDBへアクセスする標準API","高","fe-siken.com 平成23年特別試験 問32 / JDBC","https://www.fe-siken.com/kakomon/23_toku/q32.html","","","","200","ap-siken.com 平成17年秋期 問37 / Enterprise Java Beans","https://www.ap-siken.com/kakomon/17_aki/q37.html","ap-siken.com 平成16年春期 問47 / J2EEの構成技術","https://www.ap-siken.com/kakomon/16_haru/q47.html"
"問22","P.11","データベース","共有ロックと排他ロックの並行可否","確定","fe-siken.com 令和4年度 午前免除試験 問29 / 並行実行の可否の組合せ","https://www.fe-siken.com/kakomon/04_menjo/q29.html","午前免除試験 令和4年1月 問29","応用情報技術者 H30秋期 問30","午前免除試験 令和4年1月 問29。出題履歴はAP H30秋 問30。","15","ap-siken.com 平成30年秋期 問30 / 並行実行の可否の組合せ","https://www.ap-siken.com/kakomon/30_aki/q30.html","fe-siken.com 令和1年秋期 問29 / デッドロックが発生しない処理順序","https://www.fe-siken.com/kakomon/01_aki/q29.html"
"問23","P.11","ネットワーク","回線伝送時間の計算","高","fe-siken.com 令和6年度 午前免除試験 問23 / ネットワーク伝送時間の計算","https://www.fe-siken.com/kakomon/06_menjo/q23.html","午前免除試験 令和6年7月 問23","","","188","fe-siken.com 令和6年度 午前免除試験 問23 / 問23 解説へ 10Mビット／秒の回線を用いて100Mバイトのファイルを送信するとき，伝送におよそ何秒掛かるか。ここで，回線の伝送効率は75%とし，1Mビット＝10 6 ビットとす...","https://www.fe-siken.com/s/kakomon/06_menjo/q23.html","fe-siken.com 平成24年春期 問20 / スプーリング","https://www.fe-siken.com/kakomon/24_haru/q20.html"
"問24","P.12","ネットワーク","TCP/IP階層モデルで見る装置A","高","fe-siken.com 平成28年秋期 問31 / ネットワーク機器","https://www.fe-siken.com/kakomon/28_aki/q31.html","","基本情報技術者 H14春期 問65 基本情報技術者 H18春期 問57","","135","fe-siken.com 令和2年度 午前免除試験 問33 / MACフレームとIPパケット","https://www.fe-siken.com/kakomon/02_menjo/q33.html","ap-siken.com 平成31年春期 問33 / MACフレームとIPパケット","https://www.ap-siken.com/kakomon/31_haru/q33.html"
"問25","P.12","ネットワーク","IPアドレスとサブネット","高","fe-siken.com 平成21年秋期 問39 / サブネットマスク","https://www.fe-siken.com/kakomon/21_aki/q39.html","","","","329","fe-siken.com 平成29年秋期 問35 / ネットワークアドレス","https://www.fe-siken.com/kakomon/29_aki/q35.html","ap-siken.com 平成31年春期 問34 / ネットワークアドレス","https://www.ap-siken.com/kakomon/31_haru/q34.html"
"問26","P.12","ネットワーク","Webサーバと外部プログラムの連携","高","fe-siken.com 平成30年春期 問35 / Webサーバと外部プログラムを連携する仕組み","https://www.fe-siken.com/kakomon/30_haru/q35.html","","基本情報技術者 H17秋期 問55 基本情報技術者 H22春期 問39","","161","fe-siken.com 平成22年春期 問39 / Webサーバと外部プログラムを連携する仕組み","https://www.fe-siken.com/kakomon/22_haru/q39.html","fe-siken.com 平成17年秋期 問55 / Webサーバと外部プログラムを連携する仕組み","https://www.fe-siken.com/kakomon/17_aki/q55.html"
"問27","P.13","セキュリティ","サイバーキルチェーン","高","ap-siken.com 令和4年春期 問37 / サイバーキルチェーン","https://www.ap-siken.com/kakomon/04_haru/q37.html","","","","177","sg-siken.com 令和6年春期 問4 / サイバーキルチェーン","https://www.sg-siken.com/kakomon/06_haru/a4.html","ap-siken.com 令和7年秋期 問36 / サイバーキルチェーン","https://www.ap-siken.com/kakomon/07_aki/q36.html"
"問28","P.13","セキュリティ","エンベロープ暗号化","高","fe-siken.com 令和6年度 午前免除試験 問28 / エンベロープ暗号化の説明はどれか","https://www.fe-siken.com/kakomon/06_menjo/q28.html","午前免除試験 令和6年7月 問28","エンベデッド R3秋期 問18","","217","fe-siken.com 令和6年度 午前免除試験 問28 / 問28 解説へ エンベロープ暗号化の説明はどれか。 暗号化鍵で平文を暗号化してから，その暗号化鍵を別の暗号化鍵で暗号化する。 暗号化メールを送信する際に，送信者が電子メールの返信先...","https://www.fe-siken.com/s/kakomon/06_menjo/q28.html","sg-siken.com 01_yosou 問33 / 公開鍵暗号方式の安全性","https://www.sg-siken.com/kakomon/01_yosou/q33.html"
"問29","P.14","セキュリティ","リスクベース認証","高","ap-siken.com 令和3年春期 問39 / リスクベース認証の特徴はどれか","https://www.ap-siken.com/kakomon/03_haru/q39.html","","応用情報技術者 H28秋期 問40 応用情報技術者 H31春期 問37","","104","ap-siken.com 平成31年春期 問37 / リスクベース認証の特徴はどれか","https://www.ap-siken.com/kakomon/31_haru/q37.html","ap-siken.com 平成28年秋期 問40 / リスクベース認証の特徴はどれか","https://www.ap-siken.com/kakomon/28_aki/q40.html"
"問30","P.14","セキュリティ","JIS Q 27014のガバナンス範囲","高","sg-siken.com 平成30年秋期 問8 / 情報セキュリティガバナンスの範囲","https://www.sg-siken.com/kakomon/30_aki/q8.html","","","","327","sg-siken.com 令和1年秋期 問9 / JIS Q 27017に記載されている管理策","https://www.sg-siken.com/kakomon/01_aki/q9.html","fe-siken.com 平成25年秋期 問63 / 業務モデルを定義する目的","https://www.fe-siken.com/kakomon/25_aki/q63.html"
"問31","P.15","セキュリティ","IPSの説明","高","fe-siken.com 令和3年度 午前免除試験 問42 / IPSの説明はどれか","https://www.fe-siken.com/kakomon/03_menjo/q42.html","午前免除試験 令和3年7月 問42","情報セキュマネ H31春期 問15","","167","sg-siken.com 平成31年春期 問15 / IPSの説明はどれか","https://www.sg-siken.com/kakomon/31_haru/q15.html","sg-siken.com 平成29年秋期 問13 / 秘密情報の漏えいを防止するもの","https://www.sg-siken.com/kakomon/29_aki/q13.html"
"問32","P.15","セキュリティ","ステガノグラフィ","確定","fe-siken.com 令和6年度 午前免除試験 問32 / ステガノグラフィはどれか","https://www.fe-siken.com/kakomon/06_menjo/q32.html","午前免除試験 令和6年7月 問32","情報セキュマネ R1秋期 問11","午前免除試験 令和6年7月 問32。出題履歴は情報セキュマネ R1秋 問11。","84","sg-siken.com 09_yosou 問16 / ステガノグラフィの機能はどれか","https://www.sg-siken.com/kakomon/09_yosou/q16.html","ap-siken.com 平成24年春期 問44 / ステガノグラフィ","https://www.ap-siken.com/kakomon/24_haru/q44.html"
"問33","P.16","ネットワーク","WPA2-PSKの機能","高","ap-siken.com 令和1年秋期 問39 / WPA2-PSKの機能はどれか","https://www.ap-siken.com/kakomon/01_aki/q39.html","","応用情報技術者 H27秋期 問39 応用情報技術者 H29春期 問42","","235","ap-siken.com 平成29年春期 問42 / WPA2-PSKの機能はどれか","https://www.ap-siken.com/kakomon/29_haru/q42.html","ap-siken.com 平成27年秋期 問39 / WPA2-PSKの機能はどれか","https://www.ap-siken.com/kakomon/27_aki/q39.html"
"問34","P.16","開発技術","UMLアクティビティ図","確定","fe-siken.com 令和5年度 午前免除試験 問34 / アクティビティ図の特徴はどれか","https://www.fe-siken.com/kakomon/05_menjo/q34.html","午前免除試験 令和5年6月 問34","応用情報技術者 R2秋期 問46","問題文と選択肢が一致。午前免除試験 令和5年6月 問34、出題履歴はAP R2秋 問46。","手動確認","ap-siken.com 平成28年春期 問28 / デッドロックが発生する資源の組合せ","https://www.ap-siken.com/kakomon/28_haru/q28.html","fe-siken.com 令和1年秋期 問51 / アクティビティの依存関係","https://www.fe-siken.com/kakomon/01_aki/q51.html"
"問35","P.16","プログラミング","クラスとインスタンス","高","fe-siken.com 平成30年秋期 問47 / クラスとインスタンスの関係","https://www.fe-siken.com/kakomon/30_aki/q47.html","","基本情報技術者 H20春期 問43 基本情報技術者 H22秋期 問47","","258","fe-siken.com 平成22年秋期 問47 / クラスとインスタンスの関係","https://www.fe-siken.com/kakomon/22_aki/q47.html","fe-siken.com 平成20年春期 問43 / クラスとインスタンスとの関係","https://www.fe-siken.com/kakomon/20_haru/q43.html"
"問36","P.17","開発技術","デザインレビューのねらい","高","fe-siken.com 平成20年春期 問46 / デザインレビューを実施するねらい","https://www.fe-siken.com/kakomon/20_haru/q46.html","","基本情報技術者 H15春期 問52","","115","fe-siken.com 平成15年春期 問52 / デザインレビューを実施するねらい","https://www.fe-siken.com/kakomon/15_haru/q52.html","fe-siken.com 平成23年特別試験 問47 / ウォークスルー","https://www.fe-siken.com/kakomon/23_toku/q47.html"
"問37","P.17","開発技術","静的解析ツール","高","fe-siken.com 平成22年秋期 問23 / プログラムの静的解析ツール","https://www.fe-siken.com/kakomon/22_aki/q23.html","","","","138","fe-siken.com 平成31年春期 問48 / 静的解析ツールのものはどれか","https://www.fe-siken.com/kakomon/31_haru/q48.html","fe-siken.com 平成31年春期 問48 / 問48 解説へ ソフトウェアのテストツールの説明のうち，静的テストを支援する静的解析ツールのものはどれか。 指定された条件のテストデータや，プログラムの入力ファイルを自動的に生成す...","https://www.fe-siken.com/s/kakomon/31_haru/q48.html"
"問38","P.18","マネジメント","修正費用の期待値","高","fe-siken.com 平成31年春期 問49 / 修正費用の期待値","https://www.fe-siken.com/kakomon/31_haru/q49.html","","基本情報技術者 H18秋期 問50","","168","fe-siken.com 平成31年春期 問49 / 問49 解説へ 条件に従うとき，アプリケーションプログラムの初年度の修正費用の期待値は，何万円か。 〔条件〕 プログラム規模：2,000kステップ プログラムの潜在不良率：0.04...","https://www.fe-siken.com/s/kakomon/31_haru/q49.html","fe-siken.com 平成18年秋期 問50 / 修正費用の期待値","https://www.fe-siken.com/kakomon/18_aki/q50.html"
"問39","P.18","マネジメント","スクラムマスターの役割","高","ap-siken.com 令和3年秋期 問50 / スクラムマスタが行うこと","https://www.ap-siken.com/kakomon/03_aki/q50.html","","","","183","ap-siken.com 令和3年春期 問49 / プロダクトオーナーの役割はどれか","https://www.ap-siken.com/kakomon/03_haru/q49.html","fe-siken.com 令和7年春期 問13 / スクラムチームの役割","https://www.fe-siken.com/kakomon/07_haru/a13.html"
"問40","P.19","開発技術","XPにおけるリファクタリング","高","ap-siken.com 平成27年秋期 問49 / リファクタリングの説明はどれか","https://www.ap-siken.com/kakomon/27_aki/q49.html","","応用情報技術者 H26春期 問49","","177","ap-siken.com 平成26年春期 問49 / リファクタリングの説明はどれか","https://www.ap-siken.com/kakomon/26_haru/q49.html","fe-siken.com 令和6年度 午前免除試験 問40 / リファクタリングの説明はどれか","https://www.fe-siken.com/kakomon/06_menjo/q40.html"
"問41","P.19","マネジメント","工程別工数比率と開発期間","高","fe-siken.com 令和2年度 午前免除試験 問54 / スケジュール管理","https://www.fe-siken.com/kakomon/02_menjo/q54.html","午前免除試験 令和2年1月 問54","プロジェクトマネージャ H31春期 問8","","205","ap-siken.com 令和4年秋期 問53 / スケジュール管理","https://www.ap-siken.com/kakomon/04_aki/q53.html","ap-siken.com 平成27年春期 問53 / スケジュール管理","https://www.ap-siken.com/kakomon/27_haru/q53.html"
"問42","P.19","マネジメント","EVMの管理対象","高","fe-siken.com 令和3年度 午前免除試験 問51 / EVMの管理対象の組みはどれか","https://www.fe-siken.com/kakomon/03_menjo/q51.html","午前免除試験 令和3年1月 問51","応用情報技術者 R2秋期 問52","","313","ap-siken.com 令和2年秋期 問52 / EVMの管理対象の組みはどれか","https://www.ap-siken.com/kakomon/02_aki/q52.html","ap-siken.com 平成29年秋期 問52 / EVMの管理対象の組みはどれか","https://www.ap-siken.com/kakomon/29_aki/q52.html"
"問43","P.20","システム","コールドスタート","高","fe-siken.com 令和6年度 午前免除試験 問43 / 初期プログラムロードとも呼ばれるもの","https://www.fe-siken.com/kakomon/06_menjo/q43.html","午前免除試験 令和6年7月 問43","基本情報技術者 H30秋期 問56","","215","fe-siken.com 平成30年秋期 問56 / 初期プログラムロードとも呼ばれるもの","https://www.fe-siken.com/kakomon/30_aki/q56.html","fe-siken.com 令和6年度 午前免除試験 問43 / 問43 解説へ システム障害が発生したときにシステムを初期状態に戻して再開する方法であり，更新前コピー又は更新後コピーの前処理を伴わないシステム開始のことであって，初期プログラムロ...","https://www.fe-siken.com/s/kakomon/06_menjo/q43.html"
"問44","P.20","システム","落雷過電圧への対策","高","fe-siken.com 平成29年秋期 問57 / 過電圧の被害から防ぐための手段","https://www.fe-siken.com/kakomon/29_aki/q57.html","","基本情報技術者 H21秋期 問57 基本情報技術者 H25春期 問56 基本情報技術者 H28春期 問58","","138","fe-siken.com 平成28年春期 問58 / 過電圧の被害から防ぐための手段","https://www.fe-siken.com/kakomon/28_haru/q58.html","fe-siken.com 平成25年春期 問56 / 過電圧の被害から防ぐための手段","https://www.fe-siken.com/kakomon/25_haru/q56.html"
"問45","P.20","監査","情報セキュリティ監査基準","高","sg-siken.com 平成28年秋期 問40 / 情報セキュリティ監査基準","https://www.sg-siken.com/kakomon/28_aki/q40.html","","","","286","ap-siken.com 平成25年春期 問58 / 情報セキュリティと守秘責任","https://www.ap-siken.com/kakomon/25_haru/q58.html","ap-siken.com 平成23年特別試験 問59 / 情報セキュリティと守秘責任","https://www.ap-siken.com/kakomon/23_toku/q59.html"
"問46","P.21","ストラテジ","EAのTo-Beモデル","高","fe-siken.com 令和4年度 午前免除試験 問61 / To-Beモデル","https://www.fe-siken.com/kakomon/04_menjo/q61.html","午前免除試験 令和4年6月 問61","応用情報技術者 H29秋期 問61","","203","ap-siken.com 平成29年秋期 問61 / To-Beモデル","https://www.ap-siken.com/kakomon/29_aki/q61.html","ap-siken.com 平成27年秋期 問61 / To-Beモデル","https://www.ap-siken.com/kakomon/27_aki/q61.html"
"問47","P.21","ストラテジ","スマートグリッド","高","fe-siken.com 平成26年秋期 問63 / スマートグリッドの説明はどれか","https://www.fe-siken.com/kakomon/26_aki/q63.html","","応用情報技術者 H25春期 問63","","146","ap-siken.com 平成25年春期 問63 / スマートグリッドの説明はどれか","https://www.ap-siken.com/kakomon/25_haru/q63.html","fe-siken.com 平成27年秋期 問74 / スマートメーターを導入する目的","https://www.fe-siken.com/kakomon/27_aki/q74.html"
"問48","P.22","開発技術","要件定義で実施すべきこと","高","fe-siken.com 平成30年秋期 問65 / 要件定義プロセスで実施すべきもの","https://www.fe-siken.com/kakomon/30_aki/q65.html","","基本情報技術者 H29春期 問66","","187","fe-siken.com 平成29年春期 問66 / 要件定義プロセスで実施すべきもの","https://www.fe-siken.com/kakomon/29_haru/q66.html","sg-siken.com 平成30年秋期 問49 / 要件定義プロセスで実施すべきもの","https://www.sg-siken.com/kakomon/30_aki/q49.html"
"問49","P.22","ストラテジ","M&A","高","fe-siken.com 令和4年度 午前免除試験 問66 / M&Aを説明したものはどれか","https://www.fe-siken.com/kakomon/04_menjo/q66.html","午前免除試験 令和4年12月 問66","応用情報技術者 H23秋期 問66","","180","ap-siken.com 平成23年秋期 問66 / M&Aを説明したものはどれか","https://www.ap-siken.com/kakomon/23_aki/q66.html","fe-siken.com 令和3年度 午前免除試験 問66 / 垂直統合に該当するものはどれか","https://www.fe-siken.com/kakomon/03_menjo/q66.html"
"問50","P.23","ストラテジ","プロダクトライフサイクルの成長期","高","fe-siken.com 平成26年秋期 問70 / プロダクトライフサイクル","https://www.fe-siken.com/kakomon/26_aki/q70.html","","初級シスアド H21春期 問62 基本情報技術者 H26春期 問68","","196","fe-siken.com 平成26年春期 問68 / プロダクトライフサイクル","https://www.fe-siken.com/kakomon/26_haru/q68.html","fe-siken.com 平成30年秋期 問67 / プロダクトライフサイクル","https://www.fe-siken.com/kakomon/30_aki/q67.html"
"問51","P.23","ストラテジ","BSCの顧客の視点","高","fe-siken.com 平成24年春期 問69 / バランススコアカード 顧客の視点","https://www.fe-siken.com/kakomon/24_haru/q69.html","","","","204","fe-siken.com 令和1年秋期 問67 / BSCの内部ビジネスプロセス","https://www.fe-siken.com/kakomon/01_aki/q67.html","fe-siken.com 平成29年春期 問70 / BSCの学習と成長の視点","https://www.fe-siken.com/kakomon/29_haru/q70.html"
"問52","P.23","ストラテジ","技術進化過程を表す曲線","高","fe-siken.com 平成30年秋期 問70 / 技術のSカーブ","https://www.fe-siken.com/kakomon/30_aki/q70.html","","応用情報技術者 H23特別 問69 応用情報技術者 H24秋期 問70 応用情報技術者 H28春期 問70","","229","ap-siken.com 平成28年春期 問70 / 技術のSカーブ","https://www.ap-siken.com/kakomon/28_haru/q70.html","ap-siken.com 平成24年秋期 問70 / 技術のSカーブ","https://www.ap-siken.com/kakomon/24_aki/q70.html"
"問53","P.24","ストラテジ","HEMS","高","fe-siken.com 令和4年度 午前免除試験 問74 / HEMSの説明として適切なもの","https://www.fe-siken.com/kakomon/04_menjo/q74.html","午前免除試験 令和4年7月 問74","基本情報技術者 H29秋期 問73","","285","fe-siken.com 平成29年秋期 問73 / HEMSの説明として適切なもの","https://www.fe-siken.com/kakomon/29_aki/q73.html","fe-siken.com 科目Aサンプル問題 問54 / HEMSの説明はどれか","https://www.fe-siken.com/kakomon/sample/a54.html"
"問54","P.25","ストラテジ","製品開発スピードアップ手法の分類","高","fe-siken.com 令和4年度 午前免除試験 問72 / 製品開発のスピードアップ手法","https://www.fe-siken.com/kakomon/04_menjo/q72.html","午前免除試験 令和4年1月 問72","応用情報技術者 H28春期 問71","","154","ap-siken.com 平成28年春期 問71 / 製品開発のスピードアップ手法","https://www.ap-siken.com/kakomon/28_haru/q71.html","fe-siken.com 令和6年度 午前免除試験 問54 / MRPの特徴はどれか","https://www.fe-siken.com/kakomon/06_menjo/q54.html"
